Gene	Symbol|Child_inf_vs_control	Mouse.gene.name|Mouse_FOOTDay2inf_vs_control	logFC|Adult_inf_vs_control	logFC|Child_inf_vs_control	logFC|Mouse_LNDay2inf_vs_control	logFC|Mouse_FOOTDay2inf_vs_control	FDR|Adult_inf_vs_control	FDR|Child_inf_vs_control	FDR|Mouse_LNDay2inf_vs_control	FDR|Mouse_FOOTDay2inf_vs_control	-logPFDR|Adult_inf_vs_control	-logPFDR|Child_inf_vs_control	-logPFDR|Mouse_LNDay2inf_vs_control	-logPFDR|Mouse_FOOTDay2inf_vs_control	DEG|Adult_inf_vs_control	DEG|Child_inf_vs_control	DEG|Mouse_LNDay2inf_vs_control	DEG|Mouse_FOOTDay2inf_vs_control	Number_UP	Number_DOWN
ENSG00000182552	RWDD4	Rwdd4a	-0.4468	-0.1814	-0.0155	-0.0798	0.0003	0.0026	0.8891	0.4071	3.5717	2.5851	0.0510	0.3903	NO	NO	NO	NO	0	0
ENSG00000115526	CHST10	Chst10	-0.0105	-0.7248	-0.0156	-0.5969	0.9652	0.0000	0.9211	0.0236	0.0154	4.6576	0.0357	1.6268	NO	NO	NO	NO	0	0
ENSG00000148444	COMMD3	Commd3	-0.4832	-0.2902	-0.0157	-0.1914	0.0028	0.0000	0.8971	0.0539	2.5491	7.3893	0.0471	1.2680	NO	NO	NO	NO	0	0
ENSG00000167778	SPRYD3	Spryd3	-0.7765	0.3562	-0.0157	0.0077	0.0006	0.0651	0.8959	0.9534	3.2095	1.1862	0.0477	0.0207	NO	NO	NO	NO	0	0
ENSG00000147010	SH3KBP1	Sh3kbp1	-0.4365	-0.1084	-0.0158	0.0340	0.0006	0.0115	0.8635	0.7295	3.2320	1.9389	0.0638	0.1370	NO	NO	NO	NO	0	0
ENSG00000140691	ARMC5	Armc5	-0.0504	-0.0740	-0.0158	0.0748	0.8432	0.8548	0.8612	0.3299	0.0741	0.0681	0.0649	0.4816	NO	NO	NO	NO	0	0
ENSG00000157895	C12orf43	2210016L21Rik	-0.8448	-0.4642	-0.0160	-0.0499	0.0000	0.0000	0.8619	0.5546	7.2034	5.1051	0.0646	0.2560	NO	NO	NO	NO	0	0
ENSG00000120708	TGFBI	Tgfbi	-0.0412	0.1063	-0.0161	0.2135	0.8385	0.2438	0.8775	0.0131	0.0765	0.6129	0.0567	1.8826	NO	NO	NO	NO	0	0
ENSG00000033122	LRRC7	Lrrc7	0.1621	-0.9695	-0.0161	-0.2474	0.5031	0.0000	0.9711	0.3610	0.2983	4.3625	0.0128	0.4425	NO	NO	NO	NO	0	0
ENSG00000162521	RBBP4	Rbbp4	-0.7888	-0.6462	-0.0162	-0.1439	0.0000	0.0000	0.8350	0.0360	10.4989	33.4237	0.0783	1.4432	NO	NO	NO	NO	0	0
ENSG00000110756	HPS5	Hps5	-0.4016	0.4716	-0.0162	-0.0875	0.0006	0.0000	0.8602	0.3046	3.2410	22.9469	0.0654	0.5162	NO	NO	NO	NO	0	0
ENSG00000184178	SCFD2	Scfd2	-0.4039	-0.8890	-0.0163	0.1145	0.0100	0.0000	0.9204	0.3776	2.0000	30.9393	0.0360	0.4229	NO	NO	NO	NO	0	0
ENSG00000198700	IPO9	Ipo9	-0.5737	-0.6539	-0.0163	-0.1458	0.0000	0.0000	0.7830	0.0095	5.4237	27.1512	0.1062	2.0229	NO	NO	NO	NO	0	0
ENSG00000174851	YIF1A	Yif1a	-0.5693	-0.3071	-0.0163	0.0364	0.0003	0.2936	0.9171	0.7833	3.5844	0.5322	0.0376	0.1061	NO	NO	NO	NO	0	0
ENSG00000113240	CLK4	Clk4	-0.3182	0.0412	-0.0165	0.0503	0.0051	0.4776	0.8634	0.5858	2.2943	0.3209	0.0638	0.2322	NO	NO	NO	NO	0	0
ENSG00000130733	YIPF2	Yipf2	-0.0780	-0.0939	-0.0165	0.1284	0.5936	0.6600	0.9312	0.4644	0.2265	0.1805	0.0310	0.3331	NO	NO	NO	NO	0	0
ENSG00000185009	AP3M1	Ap3m1	-0.9020	-0.2609	-0.0165	0.1137	0.0000	0.0000	0.8048	0.0566	11.2565	9.1349	0.0943	1.2476	NO	NO	NO	NO	0	0
ENSG00000147123	NDUFB11	Ndufb11	-0.2684	-0.4722	-0.0165	-0.1642	0.0313	0.0112	0.8997	0.1052	1.5049	1.9491	0.0459	0.9780	NO	NO	NO	NO	0	0
ENSG00000169020	ATP5I	Atp5k	-0.0016	-0.3587	-0.0166	-0.0687	0.9907	0.0119	0.9687	0.7976	0.0041	1.9259	0.0138	0.0982	NO	NO	NO	NO	0	0
ENSG00000165714	BORCS5	Borcs5	-0.3261	-0.5690	-0.0166	0.0037	0.0639	0.0000	0.9166	0.9838	1.1946	11.2449	0.0378	0.0071	NO	NO	NO	NO	0	0
ENSG00000180901	KCTD2	Kctd2	-0.1745	0.3304	-0.0167	-0.1792	0.1123	0.0006	0.8453	0.0162	0.9496	3.2310	0.0730	1.7915	NO	NO	NO	NO	0	0
ENSG00000095932	SMIM24	Smim24	0.2135	-0.3199	-0.0167	0.4546	0.4976	0.2134	0.9491	0.1583	0.3031	0.6708	0.0227	0.8005	NO	NO	NO	NO	0	0
ENSG00000172530	BANP	Banp	-0.1295	-0.1511	-0.0167	-0.3557	0.2219	0.1095	0.9145	0.0190	0.6538	0.9608	0.0388	1.7205	NO	NO	NO	NO	0	0
ENSG00000155974	GRIP1	Grip1	-0.8291	-0.4952	-0.0168	-0.3043	0.0010	0.0005	0.9836	0.1626	2.9829	3.3022	0.0072	0.7890	NO	NO	NO	NO	0	0
ENSG00000204308	RNF5	Rnf5	-0.0810	0.2570	-0.0169	-0.0245	0.5669	0.0001	0.9381	0.9117	0.2465	3.8353	0.0277	0.0401	NO	NO	NO	NO	0	0
ENSG00000161914	ZNF653	Zfp653	-0.1445	0.1217	-0.0169	-0.1244	0.5926	0.6992	0.9104	0.3399	0.2272	0.1554	0.0408	0.4686	NO	NO	NO	NO	0	0
ENSG00000163867	ZMYM6	Zmym6	-0.2376	-0.1416	-0.0169	-0.2815	0.0455	0.0015	0.8720	0.0048	1.3419	2.8298	0.0595	2.3214	NO	NO	NO	NO	0	0
ENSG00000164815	ORC5	Orc5	-0.1650	-0.6319	-0.0169	-0.3485	0.2295	0.0000	0.9009	0.0041	0.6393	22.0701	0.0453	2.3875	NO	NO	NO	NO	0	0
ENSG00000168612	ZSWIM1	Zswim1	0.3607	0.2923	-0.0169	-0.0763	0.0628	0.0616	0.8845	0.4196	1.2019	1.2104	0.0533	0.3772	NO	NO	NO	NO	0	0
ENSG00000135932	CAB39	Cab39	-0.9443	0.0081	-0.0170	0.0459	0.0000	0.8837	0.8041	0.4708	7.0477	0.0537	0.0947	0.3272	NO	NO	NO	NO	0	0
ENSG00000242574	HLA-DMB	H2-DMb1	-0.5413	-0.5585	-0.0170	0.1408	0.0083	0.0000	0.8992	0.3483	2.0802	14.5200	0.0462	0.4581	NO	NO	NO	NO	0	0
ENSG00000092847	AGO1	Ago1	0.0406	-0.1785	-0.0173	-0.2371	0.8479	0.0040	0.8239	0.0015	0.0716	2.4020	0.0841	2.8359	NO	NO	NO	NO	0	0
ENSG00000184281	TSSC4	Tssc4	0.4626	-0.1168	-0.0174	-0.1090	0.0021	0.7464	0.8926	0.2997	2.6789	0.1270	0.0493	0.5234	NO	NO	NO	NO	0	0
ENSG00000123600	METTL8	Mettl8	-0.5274	-0.6156	-0.0174	-0.3569	0.0001	0.0000	0.9103	0.0084	4.1681	20.4202	0.0408	2.0747	NO	NO	NO	NO	0	0
ENSG00000108219	TSPAN14	Tspan14	0.3468	0.6476	-0.0174	-0.1393	0.0985	0.0000	0.8535	0.0990	1.0065	13.5638	0.0688	1.0044	NO	NO	NO	NO	0	0
ENSG00000196712	NF1	Nf1	-0.0878	0.5143	-0.0176	0.0399	0.4666	0.0000	0.8237	0.5924	0.3311	17.6253	0.0842	0.2274	NO	NO	NO	NO	0	0
ENSG00000128585	MKLN1	Mkln1	0.2978	0.0318	-0.0176	0.0443	0.0173	0.5420	0.8440	0.5929	1.7626	0.2660	0.0736	0.2270	NO	NO	NO	NO	0	0
ENSG00000142444	TIMM29	Timm29	-0.3692	-0.0709	-0.0176	0.1699	0.0022	0.3962	0.8449	0.0253	2.6563	0.4021	0.0732	1.5972	NO	NO	NO	NO	0	0
ENSG00000205531	NAP1L4	Nap1l4	0.1144	-0.5308	-0.0177	-0.0245	0.5002	0.0000	0.7810	0.7035	0.3009	24.5376	0.1073	0.1527	NO	NO	NO	NO	0	0
ENSG00000171606	ZNF274	Zfp110	0.3589	0.1253	-0.0177	0.0604	0.0038	0.0192	0.8498	0.5090	2.4174	1.7157	0.0707	0.2933	NO	NO	NO	NO	0	0
ENSG00000197223	C1D	C1d	0.3534	0.1192	-0.0178	0.1934	0.1281	0.2948	0.8473	0.0115	0.8923	0.5304	0.0720	1.9412	NO	NO	NO	NO	0	0
ENSG00000023287	RB1CC1	Rb1cc1	0.3320	-0.0180	-0.0179	-0.1123	0.0040	0.7746	0.8977	0.3255	2.3926	0.1109	0.0469	0.4874	NO	NO	NO	NO	0	0
ENSG00000115286	NDUFS7	Ndufs7	-0.1340	0.1400	-0.0179	-0.0890	0.4142	0.7000	0.9123	0.4922	0.3828	0.1549	0.0399	0.3078	NO	NO	NO	NO	0	0
ENSG00000123815	COQ8B	Coq8b	-0.7006	0.6929	-0.0180	0.3279	0.0000	0.0000	0.9086	0.0060	4.8327	4.9747	0.0416	2.2247	NO	NO	NO	NO	0	0
ENSG00000143793	C1orf35	2310033P09Rik	-0.8170	-0.2590	-0.0182	-0.2814	0.0000	0.2801	0.9001	0.0314	5.0991	0.5528	0.0457	1.5028	NO	NO	NO	NO	0	0
ENSG00000214827	MTCP1	Mtcp1	0.7376	-0.3693	-0.0182	-0.0959	0.0072	0.0119	0.9418	0.6925	2.1455	1.9227	0.0260	0.1596	NO	NO	NO	NO	0	0
ENSG00000090621	PABPC4	Pabpc4	-0.5714	-0.7562	-0.0183	0.0133	0.0014	0.0000	0.9123	0.9430	2.8520	33.7959	0.0399	0.0255	NO	NO	NO	NO	0	0
ENSG00000002330	BAD	Bad	0.4119	-0.2585	-0.0184	-0.1364	0.0073	0.4590	0.9182	0.2980	2.1358	0.3381	0.0371	0.5258	NO	NO	NO	NO	0	0
ENSG00000140264	SERF2	Serf2	0.3378	-0.0432	-0.0185	-0.1603	0.0981	0.6302	0.7527	0.0044	1.0082	0.2005	0.1234	2.3591	NO	NO	NO	NO	0	0
ENSG00000119487	MAPKAP1	Mapkap1	-0.8110	-0.0813	-0.0185	-0.0582	0.0000	0.0253	0.8185	0.4175	7.6108	1.5964	0.0870	0.3794	NO	NO	NO	NO	0	0
ENSG00000198270	TMEM116	Tmem116	-0.6824	-0.4172	-0.0185	-0.6216	0.0000	0.0000	0.9856	0.1789	4.5834	9.3010	0.0063	0.7475	NO	NO	NO	NO	0	0
ENSG00000266173	STRADA	Strada	0.1923	0.3941	-0.0186	-0.1468	0.1195	0.0000	0.8397	0.0874	0.9227	11.6819	0.0759	1.0587	NO	NO	NO	NO	0	0
ENSG00000164823	OSGIN2	Osgin2	0.3461	0.6671	-0.0187	0.4906	0.0829	0.0000	0.8789	0.0000	1.0816	12.8153	0.0561	4.4976	NO	NO	NO	NO	0	0
ENSG00000166192	SENP8	Senp8	-0.8889	0.6421	-0.0187	-0.2521	0.0191	0.0000	0.9152	0.1070	1.7184	10.2798	0.0385	0.9705	NO	NO	NO	NO	0	0
ENSG00000180957	PITPNB	Pitpnb	0.2080	-0.0488	-0.0188	-0.1237	0.1367	0.3962	0.7845	0.0407	0.8641	0.4021	0.1054	1.3902	NO	NO	NO	NO	0	0
ENSG00000178177	LCORL	Lcorl	-0.2425	-0.0700	-0.0190	-0.0528	0.0391	0.2345	0.9164	0.7712	1.4075	0.6299	0.0379	0.1128	NO	NO	NO	NO	0	0
ENSG00000093183	SEC22C	Sec22c	-0.1126	-0.3372	-0.0192	-0.2854	0.3052	0.0000	0.8593	0.0039	0.5155	13.5735	0.0659	2.4123	NO	NO	NO	NO	0	0
ENSG00000135040	NAA35	Naa35	-0.2477	-0.5324	-0.0193	0.0825	0.0088	0.0000	0.8805	0.4409	2.0555	19.0278	0.0553	0.3557	NO	NO	NO	NO	0	0
ENSG00000127399	LRRC61	Lrrc61	-0.1096	-0.0037	-0.0193	0.1741	0.6774	0.9908	0.8525	0.0553	0.1691	0.0040	0.0693	1.2576	NO	NO	NO	NO	0	0
ENSG00000052723	SIKE1	Sike1	-0.5558	-0.0167	-0.0194	-0.0696	0.0000	0.7521	0.8203	0.4038	4.5072	0.1237	0.0860	0.3938	NO	NO	NO	NO	0	0
ENSG00000169045	HNRNPH1	Hnrnph1	-0.1895	-0.5521	-0.0194	-0.0270	0.1191	0.0000	0.8228	0.7629	0.9242	26.2815	0.0847	0.1176	NO	NO	NO	NO	0	0
ENSG00000117899	MESDC2	Mesd	-0.9042	0.1521	-0.0194	-0.1156	0.0000	0.0001	0.7985	0.0917	7.8297	3.9260	0.0977	1.0378	NO	NO	NO	NO	0	0
ENSG00000012660	ELOVL5	Elovl5	0.0308	0.5146	-0.0195	0.1869	0.8502	0.0000	0.8176	0.0137	0.0705	10.7520	0.0875	1.8640	NO	NO	NO	NO	0	0
ENSG00000055483	USP36	Usp36	0.8540	-0.0591	-0.0196	-0.0163	0.0010	0.5887	0.8055	0.8551	2.9834	0.2301	0.0939	0.0680	NO	NO	NO	NO	0	0
ENSG00000140740	UQCRC2	Uqcrc2	0.0545	-0.0147	-0.0197	0.1921	0.6276	0.6867	0.8453	0.0243	0.2023	0.1632	0.0730	1.6152	NO	NO	NO	NO	0	0
ENSG00000148218	ALAD	Alad	-0.5756	0.1086	-0.0197	-0.0682	0.0004	0.1477	0.9088	0.6293	3.4024	0.8306	0.0415	0.2012	NO	NO	NO	NO	0	0
ENSG00000126882	FAM78A	Fam78a	-0.9067	0.1143	-0.0197	-0.3788	0.0000	0.2734	0.8328	0.0028	6.5361	0.5632	0.0795	2.5497	NO	NO	NO	NO	0	0
ENSG00000080854	IGSF9B	Igsf9b	-0.2364	0.3957	-0.0199	0.8573	0.5878	0.3087	0.9535	0.0020	0.2308	0.5104	0.0207	2.7073	NO	NO	NO	NO	0	0
ENSG00000074695	LMAN1	Lman1	-0.6342	-0.6653	-0.0200	-0.0214	0.0000	0.0000	0.7786	0.7636	5.3458	20.3936	0.1087	0.1171	NO	NO	NO	NO	0	0
ENSG00000187954	CYHR1	Cyhr1	-0.1286	0.1362	-0.0201	-0.1031	0.2800	0.5689	0.7454	0.0667	0.5529	0.2450	0.1276	1.1758	NO	NO	NO	NO	0	0
ENSG00000165792	METTL17	Mettl17	-0.5799	-0.4004	-0.0202	-0.1013	0.0000	0.0000	0.8922	0.4484	4.4510	8.7352	0.0495	0.3483	NO	NO	NO	NO	0	0
ENSG00000186193	SAPCD2	Sapcd2	0.9663	-0.2998	-0.0202	-0.4907	0.0116	0.3722	0.9578	0.0280	1.9355	0.4292	0.0187	1.5531	NO	NO	NO	NO	0	0
ENSG00000154370	TRIM11	Trim11	0.8128	0.3169	-0.0204	0.3996	0.0000	0.0000	0.7788	0.0000	7.9586	4.9706	0.1086	5.3747	NO	NO	NO	NO	0	0
ENSG00000253719	ATXN7L3B	Atxn7l3b	-0.3060	-0.2640	-0.0204	0.1092	0.0041	0.0000	0.7667	0.0821	2.3847	10.5302	0.1154	1.0854	NO	NO	NO	NO	0	0
ENSG00000065802	ASB1	Asb1	-0.6535	-0.4342	-0.0206	-0.0355	0.0000	0.0000	0.8871	0.8180	4.6968	6.9469	0.0520	0.0873	NO	NO	NO	NO	0	0
ENSG00000205765	C5orf51	AW549877	-0.8705	0.4260	-0.0206	-0.1622	0.0000	0.0000	0.7982	0.0301	4.5361	11.0899	0.0979	1.5218	NO	NO	NO	NO	0	0
ENSG00000135164	DMTF1	Dmtf1	-0.1449	0.0900	-0.0206	0.1193	0.1477	0.0252	0.8225	0.1786	0.8305	1.5992	0.0849	0.7482	NO	NO	NO	NO	0	0
ENSG00000102316	MAGED2	Maged2	-0.2404	0.3110	-0.0207	-0.5089	0.0663	0.0001	0.8785	0.0000	1.1782	4.1656	0.0563	5.1707	NO	NO	NO	NO	0	0
ENSG00000184428	TOP1MT	Top1mt	-0.2178	-0.2190	-0.0210	0.0359	0.3047	0.3612	0.9250	0.8444	0.5161	0.4422	0.0339	0.0735	NO	NO	NO	NO	0	0
ENSG00000172901	LVRN	Lvrn	1.3723	0.9510	-0.0210	-0.9553	0.0035	0.0000	0.9789	0.0003	2.4568	5.4841	0.0093	3.5293	NO	NO	NO	NO	0	0
ENSG00000175387	SMAD2	Smad2	-0.4687	-0.3142	-0.0210	-0.0127	0.0000	0.0000	0.8128	0.8970	6.1433	14.5171	0.0900	0.0472	NO	NO	NO	NO	0	0
ENSG00000127483	HP1BP3	Hp1bp3	0.1639	-0.2858	-0.0217	0.0010	0.3302	0.0000	0.7131	0.9928	0.4812	9.9747	0.1469	0.0032	NO	NO	NO	NO	0	0
ENSG00000010318	PHF7	Phf7	0.4837	-0.0085	-0.0218	-0.3720	0.0472	0.9517	0.9031	0.0217	1.3258	0.0215	0.0443	1.6639	NO	NO	NO	NO	0	0
ENSG00000148090	AUH	Auh	-0.6097	-0.5258	-0.0219	0.0152	0.0000	0.0000	0.8551	0.9097	5.4989	16.8827	0.0680	0.0411	NO	NO	NO	NO	0	0
ENSG00000125971	DYNLRB1	Dynlrb1	0.3655	0.3683	-0.0220	0.1869	0.0056	0.0009	0.8095	0.0149	2.2556	3.0460	0.0918	1.8259	NO	NO	NO	NO	0	0
ENSG00000132024	CC2D1A	Cc2d1a	0.0258	-0.2310	-0.0220	0.0434	0.9394	0.5392	0.8390	0.6768	0.0271	0.2682	0.0762	0.1695	NO	NO	NO	NO	0	0
ENSG00000186166	CCDC84	Ccdc84	0.2560	-0.4852	-0.0220	-0.1721	0.0427	0.0000	0.8317	0.0672	1.3698	12.6655	0.0800	1.1725	NO	NO	NO	NO	0	0
ENSG00000132388	UBE2G1	Ube2g1	0.2453	-0.4352	-0.0221	0.0768	0.0108	0.0000	0.7971	0.3052	1.9661	20.3747	0.0985	0.5154	NO	NO	NO	NO	0	0
ENSG00000146733	PSPH	Psph	-0.9744	-0.0438	-0.0221	0.1245	0.0002	0.7874	0.8890	0.2603	3.7769	0.1038	0.0511	0.5845	NO	NO	NO	NO	0	0
ENSG00000256269	HMBS	Hmbs	0.6014	0.7686	-0.0221	-0.1291	0.0210	0.0006	0.8795	0.2573	1.6774	3.2388	0.0558	0.5896	NO	NO	NO	NO	0	0
ENSG00000148200	NR6A1	Nr6a1	0.9842	-0.2994	-0.0221	-0.0893	0.0035	0.0645	0.9209	0.5635	2.4577	1.1905	0.0358	0.2491	NO	NO	NO	NO	0	0
ENSG00000002834	LASP1	Lasp1	0.3643	0.6487	-0.0222	0.3168	0.0114	0.0000	0.8000	0.0004	1.9432	17.4698	0.0969	3.4162	NO	NO	NO	NO	0	0
ENSG00000134884	ARGLU1	Arglu1	-0.2129	-0.1461	-0.0222	-0.1393	0.1117	0.0003	0.8062	0.0845	0.9518	3.4602	0.0936	1.0733	NO	NO	NO	NO	0	0
ENSG00000265190	ANXA8	Anxa8	1.6857	0.5478	-0.0223	0.1120	0.0058	0.0878	0.9604	0.1609	2.2360	1.0566	0.0176	0.7934	NO	NO	NO	NO	0	0
ENSG00000005206	SPPL2B	Sppl2b	-0.4234	-0.6351	-0.0223	-0.1035	0.0534	0.0437	0.8662	0.3529	1.2728	1.3596	0.0624	0.4524	NO	NO	NO	NO	0	0
ENSG00000137692	DCUN1D5	Dcun1d5	-0.3705	-0.5772	-0.0224	-0.0404	0.0009	0.0000	0.7919	0.6344	3.0375	16.9914	0.1013	0.1977	NO	NO	NO	NO	0	0
ENSG00000149930	TAOK2	Taok2	-0.1100	0.1876	-0.0224	-0.0925	0.2344	0.0387	0.7907	0.2447	0.6300	1.4119	0.1020	0.6114	NO	NO	NO	NO	0	0
ENSG00000154222	CC2D1B	Cc2d1b	0.3370	0.0393	-0.0224	-0.1693	0.0099	0.6627	0.7709	0.0162	2.0055	0.1787	0.1130	1.7908	NO	NO	NO	NO	0	0
ENSG00000102158	MAGT1	Magt1	0.4033	-0.1179	-0.0225	0.0882	0.0014	0.0229	0.8013	0.2903	2.8616	1.6404	0.0962	0.5372	NO	NO	NO	NO	0	0
ENSG00000115806	GORASP2	Gorasp2	0.0623	-0.2214	-0.0227	0.0197	0.7929	0.0001	0.7344	0.7770	0.1008	4.1824	0.1341	0.1096	NO	NO	NO	NO	0	0
ENSG00000116521	SCAMP3	Scamp3	-0.4656	-0.2146	-0.0229	-0.1216	0.0001	0.1869	0.9238	0.5948	4.1158	0.7283	0.0344	0.2256	NO	NO	NO	NO	0	0
ENSG00000105722	ERF	Erf	0.3810	-0.1777	-0.0229	0.1268	0.0353	0.5869	0.8662	0.2227	1.4527	0.2314	0.0624	0.6524	NO	NO	NO	NO	0	0
ENSG00000143155	TIPRL	Tiprl	-0.8263	0.5280	-0.0229	-0.0078	0.0000	0.0000	0.7575	0.9305	5.4413	15.5157	0.1206	0.0313	NO	NO	NO	NO	0	0
ENSG00000176946	THAP4	Thap4	-0.2808	-0.4033	-0.0231	-0.0867	0.0321	0.0396	0.8222	0.2588	1.4936	1.4024	0.0850	0.5871	NO	NO	NO	NO	0	0
ENSG00000061936	SFSWAP	Sfswap	-0.0297	-0.3718	-0.0232	0.1230	0.7485	0.0000	0.7140	0.0383	0.1258	15.5086	0.1463	1.4170	NO	NO	NO	NO	0	0
ENSG00000096746	HNRNPH3	Hnrnph3	0.4731	0.9218	-0.0233	-0.0886	0.0000	0.0000	0.8095	0.3587	4.4510	29.5591	0.0918	0.4452	NO	NO	NO	NO	0	0
ENSG00000138381	ASNSD1	Asnsd1	-0.5153	-0.1919	-0.0236	-0.0313	0.0004	0.0022	0.7536	0.6859	3.4417	2.6582	0.1228	0.1638	NO	NO	NO	NO	0	0
ENSG00000166794	PPIB	Ppib	0.1835	-0.1883	-0.0236	-0.1561	0.1960	0.0627	0.8203	0.0827	0.7077	1.2027	0.0860	1.0826	NO	NO	NO	NO	0	0
ENSG00000114353	GNAI2	Gnai2	0.8332	0.5585	-0.0237	0.1448	0.0000	0.0000	0.7929	0.0744	6.1599	5.9508	0.1008	1.1286	NO	NO	NO	NO	0	0
ENSG00000151414	NEK7	Nek7	-0.9177	0.1169	-0.0239	0.0442	0.0000	0.0891	0.7725	0.5852	6.7077	1.0502	0.1121	0.2327	NO	NO	NO	NO	0	0
ENSG00000132424	PNISR	Pnisr	0.2474	-0.0344	-0.0240	-0.1989	0.0168	0.4692	0.7897	0.0170	1.7741	0.3286	0.1025	1.7698	NO	NO	NO	NO	0	0
ENSG00000204599	TRIM39	Trim39	-0.3092	0.4142	-0.0241	-0.0423	0.0277	0.0000	0.7726	0.7097	1.5581	11.2857	0.1121	0.1489	NO	NO	NO	NO	0	0
ENSG00000142230	SAE1	Sae1	-0.8199	-0.3148	-0.0242	-0.1406	0.0000	0.0013	0.7361	0.0304	8.1337	2.8949	0.1331	1.5167	NO	NO	NO	NO	0	0
ENSG00000100865	CINP	Cinp	0.5517	0.2087	-0.0242	-0.1622	0.0000	0.0004	0.7999	0.0422	4.9586	3.4356	0.0970	1.3750	NO	NO	NO	NO	0	0
ENSG00000149115	TNKS1BP1	Tnks1bp1	0.0533	0.4081	-0.0243	0.1488	0.8419	0.2481	0.7936	0.0571	0.0747	0.6054	0.1004	1.2436	NO	NO	NO	NO	0	0
ENSG00000167815	PRDX2	Prdx2	0.1881	-0.9092	-0.0245	0.1509	0.5514	0.0001	0.7530	0.0213	0.2585	4.2676	0.1232	1.6711	NO	NO	NO	NO	0	0
ENSG00000138081	FBXO11	Fbxo11	0.3793	0.2015	-0.0245	-0.1560	0.0004	0.0005	0.8165	0.0963	3.4343	3.3453	0.0880	1.0165	NO	NO	NO	NO	0	0
ENSG00000152422	XRCC4	Xrcc4	-0.2536	0.6378	-0.0249	0.2733	0.2186	0.0000	0.8984	0.0953	0.6604	18.4935	0.0465	1.0209	NO	NO	NO	NO	0	0
ENSG00000134480	CCNH	Ccnh	0.6879	0.1969	-0.0253	-0.2130	0.0000	0.0002	0.8462	0.0627	6.5884	3.6605	0.0725	1.2028	NO	NO	NO	NO	0	0
ENSG00000145757	SPATA9	Spata9	0.6205	-0.4007	-0.0253	-0.2542	0.0191	0.0270	0.9687	0.6963	1.7195	1.5686	0.0138	0.1572	NO	NO	NO	NO	0	0
ENSG00000116871	MAP7D1	Map7d1	0.9909	0.2570	-0.0255	0.1626	0.0000	0.0994	0.7749	0.0340	6.0721	1.0024	0.1108	1.4688	NO	NO	NO	NO	0	0
ENSG00000110934	BIN2	Bin2	-0.5486	0.7033	-0.0257	0.7839	0.0013	0.0000	0.8402	0.0002	2.8877	27.9586	0.0756	3.7254	NO	NO	NO	NO	0	0
ENSG00000112592	TBP	Tbp	-0.1367	-0.4163	-0.0260	0.2214	0.4307	0.0000	0.7982	0.0243	0.3659	9.0386	0.0979	1.6135	NO	NO	NO	NO	0	0
ENSG00000085978	ATG16L1	Atg16l1	-0.0207	-0.3430	-0.0261	0.2113	0.8363	0.0000	0.7591	0.0080	0.0776	9.9747	0.1197	2.0974	NO	NO	NO	NO	0	0
ENSG00000036257	CUL3	Cul3	-0.0407	-0.0419	-0.0262	0.0532	0.6270	0.4395	0.7636	0.5185	0.2027	0.3570	0.1172	0.2852	NO	NO	NO	NO	0	0
ENSG00000157538	DSCR3	Vps26c	0.2719	0.4419	-0.0262	0.0351	0.0069	0.0000	0.8205	0.7724	2.1582	32.9872	0.0859	0.1121	NO	NO	NO	NO	0	0
ENSG00000183808	RBM12B	Rbm12b1	-0.9516	-0.1162	-0.0262	0.0838	0.0000	0.0056	0.8000	0.4814	9.5003	2.2504	0.0969	0.3175	NO	NO	NO	NO	0	0
ENSG00000123395	ATG101	Atg101	-0.0228	-0.0895	-0.0263	-0.0262	0.8693	0.5769	0.8233	0.8224	0.0609	0.2389	0.0844	0.0849	NO	NO	NO	NO	0	0
ENSG00000176853	FAM91A1	Fam91a1	0.6532	0.2845	-0.0265	-0.0601	0.0000	0.0000	0.7669	0.4795	8.4157	6.3809	0.1153	0.3192	NO	NO	NO	NO	0	0
ENSG00000169918	OTUD7A	Otud7a	-0.1424	-0.8438	-0.0266	-0.1244	0.6531	0.0000	0.9848	0.8162	0.1850	9.9393	0.0066	0.0882	NO	NO	NO	NO	0	0
ENSG00000166169	POLL	Poll	0.1385	-0.3305	-0.0268	0.0987	0.5443	0.0193	0.7982	0.3620	0.2642	1.7141	0.0979	0.4412	NO	NO	NO	NO	0	0
ENSG00000147475	ERLIN2	Erlin2	0.0513	0.3978	-0.0270	-0.0056	0.7288	0.0000	0.6810	0.9468	0.1374	16.5884	0.1669	0.0237	NO	NO	NO	NO	0	0
ENSG00000112406	HECA	Heca	0.5935	0.3805	-0.0271	-0.0767	0.0000	0.0000	0.7276	0.3020	7.8041	10.0026	0.1381	0.5200	NO	NO	NO	NO	0	0
ENSG00000188725	SMIM15	Smim15	0.4380	0.1867	-0.0271	-0.0595	0.0052	0.0007	0.7259	0.4326	2.2852	3.1507	0.1391	0.3640	NO	NO	NO	NO	0	0
ENSG00000106009	BRAT1	Brat1	0.1746	-0.3141	-0.0274	-0.1181	0.1888	0.2408	0.7212	0.1250	0.7240	0.6183	0.1419	0.9029	NO	NO	NO	NO	0	0
ENSG00000235568	NFAM1	Nfam1	-0.7592	0.9555	-0.0275	0.2122	0.0004	0.0000	0.8586	0.1626	3.3804	11.6055	0.0662	0.7890	NO	NO	NO	NO	0	0
